District,Year,Crop,Season,Area_ha,Avg_Temperature_C,Total_Rainfall_mm,Humidity_pct,Soil_Type,Soil_pH,N_kg_per_ha,P_kg_per_ha,K_kg_per_ha,Irrigation_pct,Yield
PALGHAR,2008,Gram,Rabi,1023.4,25.75,2296.1,82.46,Laterite,5.68,81.6,28.8,29.6,28.1,1.3058
RAIGAD,2010,Bajra,Kharif,27650.2,28.97,1045.1,85.55,Clay Loam,6.42,63.8,14.8,22.8,11.3,1.3003
PUNE,2000,Sugarcane,Whole Year,3632.95,25.73,927.7,72.71,Clay Loam,6.37,131.2,42.6,44.6,51.1,102.7651
YAVATMAL,2020,Bajra,Kharif,18978.02,28.73,882.2,68.14,Sandy Loam,7.14,81.7,44.2,27.5,16.9,1.5624
YAVATMAL,2012,Gram,Rabi,1183.28,28.35,322.0,55.64,Clay,7.49,92.8,18.8,45.4,23.6,0.932
GONDIA,2003,Cotton(lint),Kharif,171.11,29.01,1152.5,52.89,Loam,6.5,104.5,39.6,32.5,26.1,0.6683
JALNA,2013,Wheat,Rabi,422.15,26.26,746.3,53.29,Clay,7.8,88.7,40.5,44.7,16.8,2.2381
AMRAVATI,2016,Cotton(lint),Kharif,9156.25,27.56,767.7,53.74,Clay,6.84,99.2,55.6,37.1,10.0,0.7313
GADCHIROLI,2006,Bajra,Kharif,32238.42,29.45,860.2,63.48,Clay,7.2,109.7,41.7,30.0,35.8,1.8564
THANE,2019,Rice,Kharif,96.51,26.49,363.4,78.25,Sandy Loam,6.07,84.2,22.1,41.9,21.9,3.6367
KOLHAPUR,2013,Soyabean,Kharif,496.31,24.46,901.5,66.12,Clay,7.3,126.1,60.0,41.1,77.2,2.8206
NANDURBAR,2002,Onion,Kharif,38.53,25.89,597.3,46.97,Clay,7.48,94.3,38.4,32.6,31.4,15.8713
DHULE,2018,Bajra,Kharif,15204.84,26.13,542.3,56.78,Clay,7.82,110.0,54.8,41.2,33.7,1.7893
WARDHA,2001,Groundnut,Kharif,19044.33,27.9,700.6,45.15,Sandy Loam,7.06,84.7,21.9,41.2,34.4,1.5126
NAGPUR,2010,Gram,Rabi,359.26,28.8,893.6,54.42,Clay,7.41,115.5,28.3,32.1,26.7,1.0701
BEED,2022,Groundnut,Kharif,9378.05,29.17,686.6,41.88,Clay,7.46,89.7,32.6,37.0,24.9,1.909
NASHIK,2011,Soyabean,Kharif,16335.48,27.44,519.5,64.66,Loam,6.74,124.2,52.8,42.4,31.9,2.6802
BHANDARA,2000,Sugarcane,Whole Year,22126.64,29.65,465.1,68.3,Clay,6.67,107.2,35.4,45.5,30.0,82.1025
WARDHA,2005,Sugarcane,Whole Year,7473.5,27.28,843.9,67.18,Loam,6.18,101.7,46.1,40.1,10.0,94.3232
WASHIM,2010,Cotton(lint),Kharif,58455.81,28.4,1006.2,53.04,Clay,7.39,112.4,45.5,36.6,12.3,0.6805
JALGAON,2007,Onion,Rabi,13337.14,26.0,941.0,44.08,Clay,7.24,98.6,45.4,34.5,32.5,17.2197
NANDED,2017,Onion,Kharif,9402.79,29.34,396.6,60.86,Clay,7.42,130.6,42.6,29.2,10.0,17.4659
HINGOLI,2003,Jowar,Kharif,1514.92,28.85,805.1,45.32,Clay,7.69,96.2,46.0,44.2,20.0,2.2926
RAIGAD,2005,Wheat,Rabi,1716.46,28.06,2235.7,91.07,Laterite,5.23,96.8,27.5,38.6,34.3,2.0143
SINDHUDURG,2024,Wheat,Rabi,23652.76,26.27,2073.8,85.03,Laterite,5.29,81.9,27.2,32.0,22.0,2.5003
WASHIM,2020,Wheat,Rabi,611.99,29.52,1027.0,48.63,Clay,6.8,138.8,48.1,48.5,10.0,2.9605
MUMBAI,2023,Onion,Rabi,10130.34,28.33,1634.4,79.71,Laterite,5.72,42.6,31.8,45.7,28.4,22.459
AKOLA,2012,Sugarcane,Whole Year,1324.18,28.42,736.2,50.96,Loam,7.61,107.3,51.1,23.8,33.8,99.2315
PARBHANI,2000,Rice,Kharif,5874.59,27.72,429.1,49.22,Clay Loam,7.24,104.2,42.4,30.3,16.8,3.3843
JALGAON,2020,Wheat,Rabi,143.13,30.93,908.9,56.1,Clay Loam,7.25,109.3,54.7,49.1,35.1,2.7087
NANDURBAR,2013,Gram,Rabi,3149.1,27.8,578.3,61.84,Clay,7.55,74.5,44.9,37.5,16.4,1.0238
JALGAON,2000,Bajra,Kharif,252.38,26.12,661.3,69.01,Clay Loam,6.99,100.6,34.8,36.4,23.6,1.4776
NANDURBAR,2005,Groundnut,Kharif,187.31,27.51,531.0,54.63,Clay Loam,7.5,117.6,52.4,47.9,48.6,1.8963
NANDED,2020,Sugarcane,Whole Year,23994.27,27.65,539.1,50.13,Clay,7.33,85.3,25.1,31.3,20.8,91.1645
MUMBAI,2024,Gram,Rabi,377.39,24.68,1779.7,78.51,Laterite,5.66,100.2,25.5,55.0,34.8,1.3342
NAGPUR,2023,Groundnut,Kharif,2152.51,27.1,670.4,56.78,Loam,6.33,97.6,60.0,17.1,13.1,1.6188
BULDHANA,2012,Bajra,Kharif,903.66,30.5,1244.0,53.55,Loam,6.84,116.9,36.9,39.6,26.0,2.0593
NANDED,2010,Groundnut,Kharif,52.66,26.8,590.4,42.92,Clay,7.35,91.2,50.8,29.1,25.2,1.6268
JALGAON,2021,Jowar,Rabi,10421.83,27.67,992.5,53.83,Clay,8.15,104.6,51.1,55.0,25.3,2.8309
THANE,2024,Soyabean,Kharif,193.43,25.46,2097.1,74.18,Clay Loam,6.19,92.8,11.5,39.6,22.9,2.7741
RAIGAD,2001,Soyabean,Kharif,23313.14,25.33,1824.4,94.49,Laterite,5.21,63.8,11.6,36.0,30.8,2.0358
PALGHAR,2001,Rice,Kharif,2839.63,28.87,1822.0,74.2,Laterite,5.32,97.8,23.9,42.6,29.4,4.6925
AKOLA,2010,Bajra,Kharif,2078.37,28.96,1193.4,52.14,Loam,6.44,99.7,57.7,40.8,21.5,1.9483
WARDHA,2011,Cotton(lint),Kharif,2651.51,30.57,873.8,62.58,Clay,7.34,115.6,53.7,50.0,19.3,0.8204
WASHIM,2018,Bajra,Kharif,5398.25,27.27,854.4,64.79,Loam,6.49,109.6,28.6,19.6,18.7,1.6798
AHMEDNAGAR,2007,Sugarcane,Whole Year,532.62,28.33,380.1,64.55,Loam,7.05,104.0,42.5,46.5,38.6,83.3718
JALNA,2019,Sugarcane,Whole Year,575.16,31.45,768.8,43.3,Clay,7.96,117.1,42.8,51.6,29.5,95.1911
RAIGAD,2021,Jowar,Rabi,186.67,28.37,2147.4,77.57,Laterite,5.91,58.0,20.1,13.0,16.6,2.4292
WARDHA,2009,Rice,Kharif,5602.31,29.03,1367.4,61.04,Clay,7.05,118.0,47.2,42.8,23.1,4.8025
NANDURBAR,2010,Soyabean,Kharif,1041.12,27.5,642.9,64.34,Clay Loam,7.24,125.1,50.9,48.8,36.3,2.4028
KOLHAPUR,2005,Groundnut,Kharif,3224.67,26.94,567.4,50.79,Clay Loam,7.09,98.7,55.4,29.0,61.4,1.9374
PUNE,2009,Cotton(lint),Kharif,566.88,24.06,556.7,58.92,Clay,7.39,137.5,38.1,47.2,61.9,0.737
GONDIA,2017,Rice,Kharif,499.22,27.33,1430.5,55.15,Loam,6.31,101.0,46.1,21.6,18.9,4.4475
GADCHIROLI,2004,Wheat,Rabi,24308.5,27.85,928.8,60.48,Clay,7.07,115.3,46.9,39.1,29.0,2.2491
JALNA,2014,Jowar,Rabi,593.25,28.18,725.8,43.53,Clay,8.28,113.6,42.9,46.5,18.0,2.4502
DHULE,2001,Bajra,Kharif,21398.11,27.71,378.3,44.78,Loam,7.0,103.6,58.3,39.9,32.6,1.5942
RATNAGIRI,2005,Wheat,Rabi,576.99,25.98,2280.3,76.84,Sandy Loam,5.55,58.7,29.6,23.9,30.9,1.9585
SOLAPUR,2010,Wheat,Rabi,27.27,26.11,1001.5,69.52,Loam,7.07,103.6,51.0,28.8,43.7,2.7101
NAGPUR,2003,Wheat,Rabi,68.01,28.69,1040.9,59.09,Clay,7.2,98.9,19.7,24.9,16.9,2.1823
OSMANABAD,2010,Jowar,Kharif,6958.74,27.42,830.7,58.12,Clay,7.71,106.5,39.8,36.2,14.4,2.1519
MUMBAI,2009,Bajra,Kharif,3140.34,27.93,2220.7,80.45,Sandy Loam,5.58,116.4,33.2,37.2,24.5,1.7879
AHMEDNAGAR,2011,Onion,Kharif,525.81,27.69,467.6,62.98,Loam,7.17,124.0,56.4,45.4,10.0,19.8645
DHULE,2009,Jowar,Rabi,504.75,25.02,854.9,51.01,Clay,6.8,105.9,48.1,40.3,31.3,2.6102
MUMBAI,2000,Wheat,Rabi,232.81,25.16,1620.7,74.06,Laterite,5.92,72.7,27.4,44.7,36.1,1.8098
NANDURBAR,2012,Jowar,Rabi,462.72,29.03,604.4,64.56,Clay,6.61,112.3,30.2,43.9,32.7,2.0589
JALGAON,2000,Soyabean,Kharif,7051.21,29.39,761.6,57.26,Clay Loam,7.88,109.9,32.1,49.1,20.0,1.8282
BHANDARA,2000,Soyabean,Kharif,4919.75,25.11,959.4,56.48,Clay,6.47,91.7,57.6,42.1,19.2,1.6231
PALGHAR,2014,Groundnut,Kharif,239.61,24.81,1641.4,80.72,Sandy Loam,5.99,74.7,20.7,26.4,20.3,1.7784
AMRAVATI,2022,Jowar,Kharif,2440.06,28.9,886.9,55.11,Sandy Loam,6.69,122.5,26.8,43.7,13.1,2.6705
JALNA,2020,Groundnut,Kharif,105.56,25.96,514.3,58.87,Clay,7.19,104.3,34.8,50.4,24.4,1.797
SOLAPUR,2015,Sugarcane,Whole Year,746.5,26.15,659.2,56.12,Loam,7.18,93.7,60.0,38.5,48.9,92.3855
BULDHANA,2009,Bajra,Kharif,5031.32,30.38,907.8,61.35,Sandy Loam,6.73,115.3,59.1,42.8,27.5,1.6398
NANDURBAR,2022,Groundnut,Kharif,493.09,24.06,433.4,38.36,Clay,7.71,99.3,38.6,47.3,28.2,1.9561
MUMBAI,2013,Rice,Kharif,727.29,25.84,1674.5,85.69,Clay Loam,5.24,90.6,11.9,34.1,22.5,5.4812
DHULE,2020,Rice,Kharif,2663.1,26.85,440.4,59.23,Clay Loam,6.59,104.8,48.6,44.3,19.3,4.0087
NAGPUR,2018,Soyabean,Kharif,127.12,26.69,1332.0,54.06,Loam,7.01,127.4,50.6,23.8,29.3,2.6672
WASHIM,2013,Jowar,Rabi,9743.56,27.94,1059.3,61.47,Clay,6.68,111.1,40.4,29.8,24.6,2.7654
YAVATMAL,2005,Jowar,Kharif,436.07,29.16,1298.8,54.7,Loam,7.37,85.4,60.0,45.6,13.4,2.2484
AKOLA,2018,Cotton(lint),Kharif,19046.34,26.91,709.6,54.02,Loam,6.5,135.1,32.5,42.1,30.9,0.7344
BULDHANA,2018,Onion,Rabi,14352.42,27.41,1077.2,57.93,Clay,7.51,94.1,28.2,29.4,45.2,14.7725
GONDIA,2024,Sugarcane,Whole Year,76380.73,26.32,553.5,53.76,Loam,7.28,104.0,37.0,25.1,18.6,87.1756
RAIGAD,2012,Cotton(lint),Kharif,1373.69,26.45,1955.9,81.86,Laterite,5.66,85.3,20.3,55.0,38.9,0.9
BEED,2019,Sugarcane,Whole Year,8358.49,28.81,714.9,56.44,Clay,7.98,64.8,37.7,35.6,24.9,73.4074
NANDURBAR,2016,Sugarcane,Whole Year,5060.13,31.09,427.9,66.48,Clay Loam,7.18,106.1,51.7,37.3,23.4,93.3642
JALGAON,2008,Onion,Kharif,44.17,26.13,679.5,67.33,Clay Loam,7.29,111.9,50.5,51.8,26.0,20.1167
HINGOLI,2004,Cotton(lint),Kharif,155.67,30.08,422.6,43.32,Clay Loam,8.18,97.3,42.4,38.3,14.1,0.6118
AMRAVATI,2024,Jowar,Rabi,10494.83,31.03,953.9,52.16,Loam,6.74,102.7,38.9,29.4,32.6,2.5502
CHANDRAPUR,2005,Jowar,Rabi,18624.38,26.51,904.6,55.13,Loam,6.91,135.0,54.9,35.2,11.1,2.4314
RAIGAD,2023,Soyabean,Kharif,164.21,26.98,3118.0,75.78,Laterite,5.65,74.0,30.1,10.2,25.8,3.3933
DHULE,2009,Gram,Rabi,6088.08,28.5,608.8,59.3,Clay Loam,6.77,99.3,45.1,55.0,30.5,1.0931
SATARA,2011,Wheat,Rabi,4368.88,26.5,458.8,60.47,Clay,7.18,111.8,49.9,48.3,44.7,2.9818
SOLAPUR,2018,Cotton(lint),Kharif,5521.37,25.51,334.1,60.22,Clay Loam,7.62,163.3,34.4,42.6,33.5,0.9
AURANGABAD,2011,Cotton(lint),Kharif,124948.12,27.21,595.1,58.18,Clay,7.64,104.4,60.0,30.7,10.9,0.8665
SANGLI,2000,Bajra,Kharif,9131.47,24.13,967.4,66.24,Clay Loam,6.71,90.4,51.6,24.0,47.0,1.6866
SATARA,2000,Onion,Rabi,4243.73,27.19,903.3,74.05,Clay Loam,6.43,104.6,60.0,37.1,31.2,20.6457
JALGAON,2020,Sugarcane,Whole Year,3745.41,28.69,406.8,58.11,Clay,6.81,112.8,35.9,37.6,37.1,89.0394
NANDED,2008,Sugarcane,Whole Year,762.94,27.59,612.3,40.9,Clay Loam,7.59,101.9,49.1,52.7,11.1,85.5896
AKOLA,2005,Soyabean,Kharif,284.01,27.61,924.7,64.23,Loam,7.06,105.7,36.8,25.5,21.1,2.2277
YAVATMAL,2011,Jowar,Rabi,514.24,26.84,755.7,65.25,Sandy Loam,7.32,124.0,51.1,7.1,10.0,2.4267
JALGAON,2006,Jowar,Kharif,13151.5,27.46,513.3,57.15,Clay Loam,6.96,117.3,60.0,43.3,40.2,2.4655
NANDURBAR,2016,Gram,Rabi,21571.02,25.13,613.6,45.58,Clay,7.17,80.8,57.4,34.2,31.6,1.2506
HINGOLI,2003,Sugarcane,Whole Year,5054.92,29.33,381.1,48.24,Clay Loam,7.22,125.4,40.9,43.2,10.0,76.2854
RAIGAD,2012,Sugarcane,Whole Year,228.18,26.21,1889.3,83.54,Sandy Loam,5.7,73.4,23.6,17.8,15.3,99.2002
CHANDRAPUR,2007,Onion,Rabi,20.67,31.59,1131.6,59.36,Sandy Loam,6.64,80.4,54.6,18.6,28.1,16.1618
AHMEDNAGAR,2009,Rice,Kharif,307.3,27.69,470.0,56.01,Clay Loam,7.43,124.2,60.0,39.4,24.0,3.6759
NANDURBAR,2008,Soyabean,Kharif,3265.82,26.53,877.9,60.85,Clay Loam,6.93,100.0,36.5,45.4,22.7,2.1209
PUNE,2002,Sugarcane,Whole Year,3243.63,27.22,504.9,68.31,Clay,7.28,100.2,46.8,53.0,47.8,89.665
AURANGABAD,2006,Soyabean,Kharif,62446.68,28.24,702.3,65.48,Clay,7.32,95.7,32.0,44.1,20.3,2.1552
BULDHANA,2023,Bajra,Kharif,6119.07,29.33,1011.3,54.71,Sandy Loam,6.71,133.2,37.8,39.9,19.7,1.9526
JALGAON,2004,Sugarcane,Whole Year,653.56,26.49,445.4,50.53,Loam,6.76,95.8,59.6,42.8,35.3,80.1461
BULDHANA,2024,Gram,Rabi,3965.47,27.25,871.3,60.48,Clay,7.05,87.6,42.0,25.2,20.4,1.3129
MUMBAI,2020,Rice,Kharif,3022.19,28.12,2324.8,79.06,Sandy Loam,5.68,100.5,36.0,28.0,26.9,5.4715
OSMANABAD,2024,Sugarcane,Whole Year,505.12,30.11,792.7,47.18,Clay,7.7,116.4,33.7,45.7,15.4,91.9066
NASHIK,2021,Gram,Rabi,5780.5,29.55,761.1,49.96,Clay,6.01,100.2,60.0,45.5,24.4,1.0069
BHANDARA,2002,Jowar,Kharif,434.17,29.31,1181.6,59.8,Sandy Loam,5.68,83.1,60.0,46.6,23.6,2.4829
JALGAON,2023,Rice,Kharif,9435.38,25.07,427.1,62.67,Clay,7.2,116.0,46.7,38.4,34.5,4.2571
SATARA,2017,Soyabean,Kharif,118797.53,24.96,860.7,73.0,Loam,6.84,127.8,57.8,23.8,41.8,2.5725
GADCHIROLI,2007,Rice,Kharif,6867.76,27.85,821.2,60.5,Sandy Loam,7.06,75.0,32.0,30.8,38.6,3.7512
NASHIK,2002,Soyabean,Kharif,18920.01,28.02,456.6,40.1,Clay Loam,7.03,109.6,46.7,33.2,24.0,1.6984
NANDURBAR,2007,Wheat,Rabi,6247.7,26.79,662.1,47.1,Clay Loam,6.58,120.9,44.7,44.0,24.5,2.1713
JALGAON,2008,Soyabean,Kharif,7040.98,25.55,559.8,65.14,Clay Loam,7.57,114.1,33.8,52.1,20.2,1.8332
JALNA,2009,Bajra,Kharif,2170.82,29.48,517.3,43.26,Clay Loam,7.62,100.6,33.9,32.6,19.2,1.597
THANE,2006,Soyabean,Kharif,263.81,25.65,1778.9,79.2,Clay Loam,6.25,105.2,38.1,32.1,39.0,3.0355
GONDIA,2018,Rice,Kharif,17374.96,28.1,696.8,68.56,Clay,7.6,109.7,44.0,47.0,19.6,4.3135
NAGPUR,2011,Groundnut,Kharif,1016.82,26.51,351.1,64.6,Sandy Loam,6.56,88.4,44.5,26.2,28.2,1.8602
NAGPUR,2004,Cotton(lint),Kharif,853.01,29.55,509.8,56.81,Clay,6.54,120.8,56.4,32.8,25.8,0.6545
BEED,2022,Soyabean,Kharif,3582.73,28.91,611.6,61.15,Clay,7.64,97.1,42.0,40.9,17.2,2.5413
NAGPUR,2007,Rice,Kharif,3921.41,28.41,761.0,59.25,Clay,6.41,92.0,43.1,31.0,35.5,3.8819
AHMEDNAGAR,2002,Bajra,Kharif,318.46,25.3,679.9,51.87,Clay Loam,6.91,111.3,48.5,42.9,12.3,1.5624
RATNAGIRI,2005,Rice,Kharif,915.35,27.13,2096.7,72.77,Sandy Loam,5.16,64.7,18.4,44.1,40.5,5.0596
AKOLA,2007,Sugarcane,Whole Year,346.18,28.0,637.6,59.06,Sandy Loam,6.8,113.6,45.0,51.9,18.9,84.6167
AKOLA,2004,Groundnut,Kharif,83.68,26.33,1177.5,57.81,Clay,6.35,95.0,47.3,25.2,16.1,1.142
AHMEDNAGAR,2023,Gram,Rabi,17524.42,25.48,307.9,66.7,Clay Loam,6.9,144.1,45.8,40.0,26.0,1.2042
PUNE,2023,Rice,Kharif,1439.22,27.89,568.7,70.08,Loam,6.27,94.8,56.8,38.5,40.9,4.5851
NANDED,2007,Bajra,Kharif,37742.83,26.44,487.4,53.87,Clay,6.99,98.4,28.2,39.8,10.0,1.1738
CHANDRAPUR,2007,Bajra,Kharif,1880.99,29.21,227.1,63.55,Clay,6.56,121.0,36.3,36.2,36.1,1.5503
HINGOLI,2020,Soyabean,Kharif,90256.63,29.36,592.0,44.65,Clay,7.59,79.8,36.5,35.9,23.8,2.1849
BHANDARA,2004,Jowar,Rabi,1401.76,27.61,1159.7,50.86,Sandy Loam,7.09,115.9,42.3,12.7,26.2,2.719
SINDHUDURG,2023,Gram,Rabi,146.53,27.14,2517.4,87.98,Sandy Loam,5.22,76.4,21.0,50.2,20.7,1.0976
NANDURBAR,2017,Soyabean,Kharif,776.7,29.85,397.3,64.58,Clay Loam,6.96,88.2,42.9,54.7,17.5,2.3366
NANDED,2012,Jowar,Kharif,108.14,30.18,314.5,63.53,Clay,7.15,114.9,37.3,48.1,16.5,2.1588
LATUR,2007,Rice,Kharif,2955.6,28.52,706.5,48.71,Clay,7.43,76.7,39.7,25.2,12.4,3.7135
NAGPUR,2003,Rice,Kharif,470.69,27.47,1191.5,54.18,Loam,6.95,99.6,49.8,48.6,25.9,4.4591
AKOLA,2007,Cotton(lint),Kharif,2003.55,30.18,1097.4,57.33,Clay,6.41,102.4,49.8,25.4,41.2,0.7721
BULDHANA,2006,Rice,Kharif,949.48,23.91,439.8,63.03,Clay,7.14,87.8,48.3,31.8,29.1,3.7538
JALGAON,2015,Bajra,Kharif,180.64,27.48,731.5,58.52,Clay Loam,6.3,93.1,40.7,43.4,17.6,1.5717
LATUR,2000,Jowar,Rabi,203.01,28.93,459.2,58.97,Clay Loam,8.02,84.3,37.7,49.2,19.0,2.0994
WARDHA,2007,Bajra,Kharif,457.91,27.03,851.3,62.38,Clay,6.92,117.7,56.3,38.5,30.0,1.6064
PARBHANI,2008,Soyabean,Kharif,57555.09,29.63,589.7,49.01,Clay,7.49,99.8,34.6,49.5,11.9,1.9535
NASHIK,2004,Bajra,Kharif,25412.51,24.57,756.7,55.05,Clay Loam,7.21,131.0,42.3,40.1,12.3,1.5534
AMRAVATI,2019,Jowar,Kharif,432.43,27.83,1124.7,51.03,Loam,6.45,102.5,37.5,45.0,10.3,2.486
LATUR,2011,Rice,Kharif,1889.4,25.94,663.2,50.06,Clay Loam,7.61,88.6,33.8,27.8,17.9,3.492
SANGLI,2011,Gram,Rabi,1043.23,24.15,738.0,67.16,Loam,5.97,141.6,44.7,31.5,49.4,1.2389
DHULE,2014,Wheat,Rabi,719.76,28.02,621.0,54.26,Clay,7.38,111.1,46.0,45.9,17.5,2.258
AMRAVATI,2023,Gram,Rabi,4315.81,27.99,1106.2,55.22,Sandy Loam,6.4,90.8,45.9,34.9,15.9,1.1029
RAIGAD,2004,Rice,Kharif,452.73,28.55,2389.9,75.88,Sandy Loam,6.15,94.7,21.9,40.8,28.9,5.6853
NAGPUR,2012,Rice,Kharif,139.62,31.37,886.9,51.59,Clay,6.64,100.4,41.4,18.3,24.5,4.4063
RATNAGIRI,2018,Gram,Rabi,324.41,28.01,2682.5,79.38,Laterite,5.46,89.5,7.4,43.8,32.3,1.1718
NANDED,2001,Onion,Kharif,4354.88,29.46,541.7,53.14,Clay,7.66,105.0,33.0,39.3,23.9,11.0874
WARDHA,2015,Soyabean,Kharif,10809.33,27.52,828.0,48.67,Sandy Loam,7.71,83.7,42.6,33.4,15.8,2.4209
OSMANABAD,2002,Gram,Rabi,515.7,29.28,497.2,54.21,Clay,7.36,91.1,39.3,48.2,13.3,0.7009
GADCHIROLI,2004,Cotton(lint),Kharif,123.61,27.54,987.7,62.29,Sandy Loam,6.94,133.2,49.4,38.8,19.3,0.7858
NASHIK,2023,Jowar,Kharif,8868.48,27.41,693.7,64.68,Clay,6.81,138.8,48.3,34.2,35.9,2.2319
GONDIA,2005,Rice,Kharif,25843.51,27.38,796.1,55.3,Clay,6.93,88.6,51.0,30.9,21.9,4.0097
JALNA,2009,Sugarcane,Whole Year,40942.65,28.76,466.1,63.38,Clay Loam,7.71,120.5,25.8,34.6,15.8,77.6234
CHANDRAPUR,2004,Onion,Kharif,1154.13,30.92,879.4,56.36,Clay,7.31,78.6,60.0,37.0,29.3,11.5256
NANDED,2018,Rice,Kharif,40976.22,26.65,502.5,42.91,Clay Loam,7.28,114.6,41.7,46.0,10.0,4.0462
SOLAPUR,2005,Gram,Rabi,16614.78,26.08,544.9,58.92,Clay Loam,6.78,129.3,46.2,28.9,41.3,0.8972
KOLHAPUR,2015,Cotton(lint),Kharif,211.04,24.54,883.4,76.82,Clay,6.43,117.5,46.2,39.7,24.9,0.842
WARDHA,2000,Sugarcane,Whole Year,10066.32,31.62,934.3,61.51,Clay,6.29,107.3,38.8,25.2,11.1,84.202
KOLHAPUR,2019,Cotton(lint),Kharif,1059.35,27.9,219.3,61.59,Loam,7.49,119.3,48.6,27.7,16.7,0.8346
YAVATMAL,2001,Bajra,Kharif,2072.88,27.92,937.7,47.22,Loam,7.43,84.0,41.1,37.8,13.5,1.6453
BHANDARA,2021,Wheat,Rabi,11592.31,25.43,617.6,46.2,Clay,6.83,63.3,50.7,26.1,18.4,1.8231
SINDHUDURG,2000,Wheat,Rabi,7907.07,28.04,2236.3,82.95,Laterite,4.99,87.4,25.3,45.4,22.7,1.646
PARBHANI,2014,Cotton(lint),Kharif,85247.97,26.28,459.3,43.81,Clay Loam,7.93,89.2,36.8,36.0,13.3,0.6307
RAIGAD,2019,Groundnut,Kharif,291.23,27.21,1723.2,78.9,Sandy Loam,5.01,84.5,31.6,39.1,31.4,2.0761
AURANGABAD,2011,Wheat,Rabi,406.96,27.11,703.8,43.78,Clay Loam,7.33,86.8,38.5,34.6,13.8,1.7672
DHULE,2000,Wheat,Rabi,337.48,27.28,661.8,52.47,Loam,6.7,120.8,55.3,52.4,25.5,2.4575
YAVATMAL,2023,Soyabean,Kharif,699.65,29.58,1005.5,59.69,Clay,6.73,104.7,46.1,27.8,27.1,2.7128
BEED,2019,Soyabean,Kharif,67602.93,27.43,618.7,57.55,Clay Loam,7.6,94.7,49.1,38.2,16.8,2.1506
AMRAVATI,2018,Sugarcane,Whole Year,1060.82,27.34,1274.4,57.57,Sandy Loam,7.39,146.6,50.1,42.7,18.7,106.6688
KOLHAPUR,2024,Onion,Kharif,136.72,23.86,794.1,66.58,Clay,5.76,175.0,56.2,49.3,64.5,23.9187
YAVATMAL,2003,Sugarcane,Whole Year,22814.64,29.33,826.9,40.09,Sandy Loam,7.25,118.2,37.2,13.0,16.2,84.7517
KOLHAPUR,2011,Onion,Kharif,335.38,24.54,716.3,71.7,Clay Loam,6.82,83.3,36.5,36.2,45.5,13.4783
CHANDRAPUR,2017,Cotton(lint),Kharif,1778.47,29.06,950.2,65.17,Sandy Loam,7.34,113.1,49.4,39.7,22.4,0.7523
SATARA,2024,Wheat,Rabi,1396.67,23.5,769.2,61.42,Clay,5.66,121.9,23.7,44.3,19.5,2.6632
BULDHANA,2012,Onion,Rabi,3156.74,28.56,886.3,54.41,Clay,7.11,85.0,40.0,27.9,22.2,16.3332
SATARA,2007,Soyabean,Kharif,5801.89,24.52,850.4,63.92,Loam,7.25,106.9,46.6,31.8,49.2,2.3779
NANDURBAR,2016,Sugarcane,Whole Year,7306.28,27.96,768.0,48.72,Clay Loam,7.29,57.1,60.0,42.8,29.2,82.1353
KOLHAPUR,2016,Onion,Rabi,2856.81,25.15,860.5,64.39,Clay,6.97,116.6,48.4,33.6,32.2,20.3078
GADCHIROLI,2014,Sugarcane,Whole Year,4525.95,31.2,735.6,62.92,Clay,7.52,119.9,20.9,39.0,15.1,85.6955
SANGLI,2001,Wheat,Rabi,107.14,27.45,505.0,62.85,Clay,6.1,97.9,52.3,35.7,48.5,2.4833
HINGOLI,2018,Gram,Rabi,603.34,27.05,588.8,39.27,Clay,7.96,98.3,56.9,35.6,22.0,1.5292
DHULE,2015,Gram,Rabi,656.02,30.35,223.5,38.93,Clay Loam,7.19,130.4,46.9,55.0,28.6,1.3988
HINGOLI,2009,Gram,Rabi,24063.94,28.74,323.4,50.42,Clay,7.42,85.7,31.4,34.5,14.2,0.8849
DHULE,2009,Onion,Kharif,847.75,28.95,782.3,54.86,Clay,7.1,124.2,42.8,55.0,23.1,18.5311
BEED,2024,Jowar,Rabi,239.01,28.97,692.1,56.27,Clay,7.35,84.2,42.5,35.7,11.2,2.8696
PARBHANI,2010,Sugarcane,Whole Year,554.24,30.18,426.6,38.09,Clay Loam,7.95,107.2,23.1,54.3,14.8,68.3878
DHULE,2012,Soyabean,Kharif,4813.04,26.02,709.7,61.36,Clay,6.67,96.4,53.5,51.9,31.3,2.0359
AURANGABAD,2017,Cotton(lint),Kharif,3818.0,31.07,698.5,52.96,Clay Loam,7.82,89.3,35.4,47.3,28.5,0.7332
SANGLI,2007,Jowar,Kharif,4028.22,25.34,793.0,63.35,Loam,6.24,96.6,34.1,42.9,59.9,1.9259
AHMEDNAGAR,2006,Cotton(lint),Kharif,926.1,28.42,858.1,42.47,Clay Loam,7.13,74.2,55.3,47.0,50.3,0.7013
KOLHAPUR,2003,Groundnut,Kharif,11278.35,26.68,1356.5,61.52,Clay Loam,6.52,98.2,55.3,54.7,54.7,2.1095
SANGLI,2022,Wheat,Rabi,13224.75,25.2,622.9,63.01,Loam,6.13,110.2,58.9,29.6,43.0,2.6136
NASHIK,2023,Soyabean,Kharif,9399.31,25.18,735.9,60.5,Clay Loam,7.46,119.7,58.1,43.4,24.0,2.3808
